YEAR GRAD,STUDENT ID,AGE,RACE,GENDER,JOB STATUS,COMPANY NAME,JOB FIELD,STATE,PROGRAM ID,PROGRAM NAME,SALARY,CLASS MODE,COST,PROGRAM TYPE,AGE GROUP,AGE CLEAN
2023,UFMPB21301,50,MELAYU,MALE,NOT SPECIFIED,NOT SPECIFIED,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,NOT SPECIFIED,ONLINE,8621,MASTER,50-59,50.0
2023,UFMTM21201,49,IBAN/SEA DAYAK -SARAWAK,MALE,BEKERJA SEPENUH MASA,AWATRA SDN BHD,MINING AND QUARRYING,SARAWAK,377,MASTER EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK & GAS,10000.00,ONLINE,8787,MASTER,40-49,49.0
2023,UFMTM21205,41,MELAYU,MALE,MELANJUTKAN PENGAJIAN,EMSER TILE USA,MINING AND QUARRYING,SELANGOR,377,MASTER EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK & GAS,10000.00,ONLINE,7220,MASTER,40-49,41.0
2023,UFMTM21207,45,MELAYU,MALE,BEKERJA SEPENUH MASA,HIBISCUS MALAYSIA LIMITED,MINING AND QUARRYING,SELANGOR,377,MASTER EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK & GAS,14000.00,ONLINE,7698,MASTER,40-49,45.0
2023,UFMTM21402,48,IBAN/SEA DAYAK -SARAWAK,MALE,BEKERJA SEPENUH MASA,SHELL MDS(MALAYSIA) SND BHD,MINING AND QUARRYING,SARAWAK,377,MASTER EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK & GAS,10000.00,ONLINE,7483,MASTER,40-49,48.0
2023,UIDOM21103,38,KADAZAN-SINO-SABAH,MALE,BEKERJA SEPENUH MASA,ANTARA STEEL MILLS SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",LABUAN,458,DIPLOMA PROFESIONAL PENGURUSAN OPERASI,2314.00,ONLINE,3128,DIPLOMA,30-39,38.0
2023,UIDOM21104,29,KADAZAN-SINO-SABAH,MALE,BEKERJA SEPENUH MASA,SAFE AND CLEAN OIL RECYCLE,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",LABUAN,458,DIPLOMA PROFESIONAL PENGURUSAN OPERASI,2600.00,ONLINE,2144,DIPLOMA,<29,29.0
2023,UIMPB20405,46,MELAYU,MALE,BEKERJA/USAHAWAN/FREELANCE,MHUSSEN MARICAR ENTERPRISE,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SARAWAK,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,2500.00,ONLINE,8269,MASTER,40-49,46.0
2023,UIMPB20406,37,INDIA,FEMALE,NOT SPECIFIED,NOT SPECIFIED,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",JOHOR,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,NOT SPECIFIED,ONLINE,7601,MASTER,30-39,37.0
2023,UIMPK20405,44,MELAYU,MALE,BEKERJA SEPENUH MASA,SAPURA RAIL SYSTEM SDN BHD,MANUFACTURING,SELANGOR,396,MASTER EKSEKUTIF PENGURUSAN KEJURUTERAAN PEMBINAAN,8450.00,ONLINE,7043,MASTER,40-49,44.0
